,imageURL,movieId,title,type,typeId,imdbRank,cast,releaseYear,duration,genres,cast1,cast2
278,"{'height': 800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMGY5MzU3MzItNDBjMC00YjQzLWEzMTUtMGMxMTEzYjhkMGNkXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg', 'width': 550}",tt0426955,Barbie as The Princess and the Pauper,video,video,11024.0,"Kelly Sheridan, Melissa Lyons",2004.0,,"Animation, Comedy, Family, Musical",Kelly Sheridan, Melissa Lyons
279,"{'height': 800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTk0Y2E2MjgtZDBhNi00OTQ3LTkyYzAtNTdmNzRhYTczZWI2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg', 'width': 550}",tt0288441,Barbie in the Nutcracker,video,video,15374.0,"Kelly Sheridan, Kirby Morrow",2001.0,,"Animation, Family, Musical, Romance",Kelly Sheridan, Kirby Morrow
280,"{'height': 800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjViZmY0M2MtODUzNy00MjRiLTlhYjQtMjQ4ZDY3ZWFkYWE4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg', 'width': 550}",tt0313255,Barbie as Rapunzel,video,video,18571.0,"Kelly Sheridan, Anjelica Huston",2002.0,,"Animation, Family, Fantasy",Kelly Sheridan, Anjelica Huston
281,"{'height': 667, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMmEwNzM1OTktZTFmMy00MmI0LWEyNjktOTY1YzM1YTc4MmQyXkEyXkFqcGdeQXVyNjkwOTg4MTA@._V1_.jpg', 'width': 1000}",tt13099156,Manasu Malligey,feature,movie,92230.0,"Nishanth, Rinku Rajguru",2017.0,,Drama,Nishanth, Rinku Rajguru
282,"{'height': 1018, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNjEyOGZmOTYtM2FhYy00MTgzLTk4MTEtM2JlZDczNTRiMmRlXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg', 'width': 715}",tt0810985,Neranja Manasu,feature,movie,166660.0,"Ilavarasu, Mansoor Ali Khan",2004.0,,"Action, Drama",Ilavarasu, Mansoor Ali Khan
283,,tt0250571,Manasu Mamata,feature,movie,226575.0,"V.K. Naresh, Raogopalrao",1990.0,,"Drama, Family",V.K. Naresh, Raogopalrao
284,"{'height': 1654, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjFkMDBmZmItY2RhYi00MjkwLThmYjItZmY2Zjc5YmE5ODliXkEyXkFqcGdeQXVyNjY5MjgxNDk@._V1_.jpg', 'width': 1181}",tt5689524,Oka Manasu,feature,movie,192187.0,"Niharika Konidela, Mahesh Achanta",2016.0,,"Drama, Musical, Romance",Niharika Konidela, Mahesh Achanta
285,"{'height': 760, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWE1Mzg5MWEtM2YxOC00ZjQ4LWJkMGQtYzliMTBkNjNmMDg4XkEyXkFqcGdeQXVyMzQzMDc2MDk@._V1_.jpg', 'width': 520}",tt2955162,Moggina Manasu,feature,movie,185809.0,"Radhika Pandit, Shubha Poonja",2008.0,,"Music, Romance",Radhika Pandit, Shubha Poonja
286,"{'height': 296, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BM2Y5M2IxYTktNjQ0Yi00ZWJiLTg1MTQtNzg4ZWM4YWMwMGRhXkEyXkFqcGdeQXVyOTA3MTM0MTM@._V1_.jpg', 'width': 500}",tt8996230,Manasu Mamatha,TV series,tvSeries,294641.0,"Subhalekha Sudhakar, Hari Teja",2010.0,,Drama,Subhalekha Sudhakar, Hari Teja
287,"{'height': 640, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNmNhZmIwZGItZDkzNi00NzVhLWI2MjUtY2Y2MzY3ODAzNDM3XkEyXkFqcGdeQXVyOTA3MTM0MTM@._V1_.jpg', 'width': 406}",tt8093952,Padi Padi Leche Manasu,feature,movie,148819.0,"Sharwanand, Sai Pallavi",2018.0,,"Drama, Romance",Sharwanand, Sai Pallavi
288,"{'height': 1063, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTc4YjY5YmEtNjYyZi00N2FiLWEwY2YtOWM5ZmNmMDQzNDU0XkEyXkFqcGdeQXVyNTE0NDY5Njc@._V1_.jpg', 'width': 718}",tt2247129,Yeto Vellipoyindhi Manasu,feature,movie,196835.0,"Nani, Samantha Ruth Prabhu",2012.0,,"Drama, Romance",Nani, Samantha Ruth Prabhu
291,"{'height': 1500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BN2EwNTUwYWItZTY4ZC00N2Q1LWFhZWQtNjMwMDBkZDVmYThjXkEyXkFqcGdeQXVyOTA2OTk0MDg@._V1_.jpg', 'width': 1000}",tt14888874,Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc,feature,movie,19749.0,,2020.0,,"Animation, Action, Fantasy",,
292,"{'height': 1350, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTRkZTE3OWItZDc4YS00MzhlLWI3ZGMtNzlhZGYyMTgzZmNkXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg', 'width': 900}",tt9894516,Oni: Thunder God's Tale,TV mini-series,tvMiniSeries,44337.0,"Momona Tamada, Craig Robinson",2022.0,2022-2022,"Animation, Action, Adventure, Family, Fantasy",Momona Tamada, Craig Robinson
293,"{'height': 720, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BY2E5MDBkYTItYzM0Ny00NzExLWJhOTItYWI0YTUzM2IyOGJmXkEyXkFqcGdeQXVyMTQyMzAwMjUz._V1_.jpg', 'width': 478}",tt0924317,Thief of Yama,feature,movie,88496.0,"N.T. Rama Rao Jr., Mohan Babu",2007.0,,"Action, Comedy, Fantasy",N.T. Rama Rao Jr., Mohan Babu
294,"{'height': 1453, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYzBkMTdhZTAtNDkyZS00MWNmLWJhNTctZTUzMmI5ZWU4M2M2XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_.jpg', 'width': 1021}",tt0047682,Sound of the Mountain,feature,movie,125608.0,"Setsuko Hara, Sô Yamamura",1954.0,,Drama,Setsuko Hara, Sô Yamamura
295,"{'height': 1111, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODAwNDdlM2UtNjZhZS00MTkxLTk5ZjYtODJmOWU4OWMyNzE3XkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_.jpg', 'width': 750}",tt0080843,A Distant Cry from Spring,feature,movie,59886.0,"Ken Takakura, Chieko Baishô",1980.0,,Drama,Ken Takakura, Chieko Baishô
298,"{'height': 2546, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjM0MTEyMjUyOV5BMl5BanBnXkFtZTgwMzY1ODE2NTE@._V1_.jpg', 'width': 1800}",tt4191486,Yamasong: March of the Hollows,feature,movie,122626.0,"Nathan Fillion, Abigail Breslin",2017.0,,"Animation, Adventure, Fantasy",Nathan Fillion, Abigail Breslin
299,,tt0257692,Gajadonga,feature,movie,511772.0,"N.T. Rama Rao, Sridevi",1980.0,,"Action, Drama",N.T. Rama Rao, Sridevi
300,"{'height': 776, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzU4ODgwOTE2OF5BMl5BanBnXkFtZTcwMzE0NTU5Mw@@._V1_.jpg', 'width': 600}",tt1733696,Yamasong,short,short,539756.0,"Frank Langley, Ratna Pappert",2010.0,,"Animation, Short, Adventure, Music, Sci-Fi",Frank Langley, Ratna Pappert
301,"{'height': 600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjU2NzY1NmYtNjIyOC00MzFmLTgwYTgtOTQ5MDQyZDlkZTA0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_.jpg', 'width': 424}",tt6184108,Yamaonna nikki,TV series,tvSeries,535119.0,"Yûki Kudô, Masaya Kikawada",2016.0,2016-2016,Drama,Yûki Kudô, Masaya Kikawada
303,"{'height': 993, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZTNiYTNkY2QtMTg3Zi00YTgwLTk4OTMtNTk0ODYxOTVjMTQzXkEyXkFqcGdeQXVyMjM5NDM1MTE@._V1_.jpg', 'width': 792}",tt0290447,Bagdad Gajadonga,feature,movie,964614.0,"N.T. Rama Rao, Jayalalitha J",1968.0,,"Adventure, Fantasy",N.T. Rama Rao, Jayalalitha J
304,,tt7313832,Yamaonna Nikki - Alps no Jô'oh,TV movie,tvMovie,778811.0,"Yûki Kudô, Masaya Kikawada",2017.0,,Drama,Yûki Kudô, Masaya Kikawada
305,"{'height': 600, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmViYWZiMWMtMjg0Ni00ZGQzLWE5NGYtYjAwZjY1ZmQ5YWZmXkEyXkFqcGdeQXVyNjQ1MDcxNzM@._V1_.jpg', 'width': 427}",tt0307541,Takkari Donga,feature,movie,75635.0,"Mahesh Babu, Lisa Ray",2002.0,,"Action, Adventure, Comedy, Western",Mahesh Babu, Lisa Ray
306,"{'height': 3508, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTc3OGY3YjMtYzhlZi00ODBiLWJjNmUtMjFkYTEzY2QyMTMxXkEyXkFqcGdeQXVyODU2NDAyMzg@._V1_.jpg', 'width': 2480}",tt29781596,Donga,feature,movie,255809.0,,2023.0,,Documentary,,
307,"{'height': 640, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWMxNzE4MGYtNjNhNy00MDRjLWEwOGUtZjBhMjUyMjhlZWIwXkEyXkFqcGdeQXVyMjIxNzk0MjE@._V1_.jpg', 'width': 444}",tt0245871,Donga,feature,movie,255968.0,"Chiranjeevi, Radha",1985.0,,"Action, Drama",Chiranjeevi, Radha
309,"{'height': 608, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjZiZDYyMzctYjc4Zi00YzEyLWEyMWUtOGUwNzY0MzhhODE3XkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg', 'width': 425}",tt0246008,Kondaveeti Donga,feature,movie,155122.0,"Chiranjeevi, Vijayshanti",1990.0,,"Action, Adventure, Drama, Musical",Chiranjeevi, Vijayshanti
311,,tt0929609,Donga Dongadi,feature,movie,393838.0,"Manoj Kumar Manchu, Sada",2004.0,,Comedy,Manoj Kumar Manchu, Sada
312,"{'height': 1073, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYmI1MWIzNjYtNGY1Zi00M2M5LTk3YTItMzhmYWMzMDFmYTRkXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_.jpg', 'width': 684}",tt1244536,Donga Police,feature,movie,397391.0,"Mohan Babu, Brahmanandam",1992.0,,"Action, Comedy, Drama",Mohan Babu, Brahmanandam
314,"{'height': 800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZGMwOTVhYzYtZmYwNC00ODAyLWJiZTYtZTkwNGFiZTAyOTFlXkEyXkFqcGdeQXVyMTAxMTM4NzU@._V1_.jpg', 'width': 556}",tt6773982,Yami Douga,video,video,214952.0,,2012.0,,Horror,,
315,"{'height': 707, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZWFiMWFhOTctNzVlNS00NWE1LWE3NmEtNDljYWJhNDJmODc3XkEyXkFqcGdeQXVyMTAxMTM4NzU@._V1_.jpg', 'width': 500}",tt6777752,Yami Douga 6,video,video,449141.0,,2013.0,,Horror,,
316,"{'height': 694, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTBiNWUzYzctNTY4OC00NWQ4LTlmZWYtMzdlZjhjYWU5NGI0XkEyXkFqcGdeQXVyMTAxMTM4NzU@._V1_.jpg', 'width': 500}",tt6777462,Yami Douga 2,video,video,499173.0,,2012.0,,Horror,,
317,"{'height': 750, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMWZlNGYyZDgtMzljZi00OWUzLThkZmYtNmExZDdlZTYzZGNhXkEyXkFqcGdeQXVyMTAxMTM4NzU@._V1_.jpg', 'width': 500}",tt6777502,Yami Douga 3,video,video,545038.0,,2012.0,,Horror,,
318,"{'height': 707, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzM5MWY0NDMtOWZkOC00ZWQyLWEyOGEtYTBjMGE2ODIxNWVkXkEyXkFqcGdeQXVyMTAxMTM4NzU@._V1_.jpg', 'width': 500}",tt6773774,Yami Douga 8,video,video,594445.0,,2013.0,,Horror,,
319,"{'height': 708, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMmQ4Y2Y4OTgtZDAxNS00MDIyLTgzMDMtMzZlNDVmZjQ0MTMxXkEyXkFqcGdeQXVyMTAxMTM4NzU@._V1_.jpg', 'width': 500}",tt6777810,Yami Douga 9,video,video,621012.0,,2014.0,,Horror,,
320,"{'height': 1000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNThiNmE3MDctOGFiZi00ZGIxLThmZTktYzVmMWJmZjc1ZGZkXkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_.jpg', 'width': 706}",tt28378080,Shinrei Yami Douga 81,feature,movie,577934.0,,2023.0,,Horror,,
322,"{'height': 660, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOGEyOTBmZGItODlmYS00NGViLTgzYjQtMWQ4MjA4NTYzMWFmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg', 'width': 440}",tt0375066,Simhadri,feature,movie,59517.0,"N.T. Rama Rao Jr., Bhoomika Chawla",2003.0,,"Action, Drama",N.T. Rama Rao Jr., Bhoomika Chawla
323,,tt15164742,Simhadri,feature,movie,173885.0,"Shankar Ashwath, Avinash",1996.0,,Action,Shankar Ashwath, Avinash
324,"{'height': 814, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BY2FjMjMwM2MtNWVhZS00YmY1LThkNzgtODJjYTUwOWQ3OThhXkEyXkFqcGdeQXVyOTY3OTAzOTQ@._V1_.jpg', 'width': 627}",tt14085364,Simhadri,feature,movie,572864.0,"Shankanada Anjanappa, Jai Jagdeesh",2014.0,,Drama,Shankanada Anjanappa, Jai Jagdeesh
326,"{'height': 690, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYWM4NDdjMGYtOWMyNS00M2RkLWIwNDUtYzUwNTE3ZTI2YTM4L2ltYWdlXkEyXkFqcGdeQXVyNzA4NTY3OTM@._V1_.jpg', 'width': 600}",tt4966270,Simhadriya Simha,feature,movie,365990.0,"Vishnuvardhan, Meena",2002.0,,"Action, Drama",Vishnuvardhan, Meena
329,"{'height': 629, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZTQ0Nzk0YTEtOTY5Yy00YTI5LTk4OTMtM2U2YTJkYjM4M2JjXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_.jpg', 'width': 419}",tt1649404,Sankham,feature,movie,117541.0,"Gopichand, Trisha Krishnan",2009.0,,"Action, Comedy",Gopichand, Trisha Krishnan
330,"{'height': 1437, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOWZhZjE4NGQtODg5Ni00MjQ1LWJmMzAtNzQ2N2M1NzYzMDJkXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_.jpg', 'width': 970}",tt0448115,Shazam!,feature,movie,2491.0,"Zachary Levi, Mark Strong",2019.0,,"Action, Adventure, Comedy, Fantasy",Zachary Levi, Mark Strong
332,"{'height': 2400, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZmIyYWFhNDUtMGQwOC00NTRkLWFhMTMtN2IzOWJhNDk5N2EyXkEyXkFqcGdeQXVyMTU5OTAwOTY3._V1_.jpg', 'width': 1600}",tt11086194,Thankam,feature,movie,70635.0,"Biju Menon, Vineeth Sreenivasan",2023.0,,"Crime, Drama",Biju Menon, Vineeth Sreenivasan
333,"{'height': 1800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg', 'width': 1200}",tt0111161,The Shawshank Redemption,feature,movie,151.0,"Tim Robbins, Morgan Freeman",1994.0,,Drama,Tim Robbins, Morgan Freeman
335,"{'height': 2115, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYzNjMGYzMmEtYTkzYS00MGE3LThkMTEtYTM2MjM0ZTdjZmYxXkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_.jpg', 'width': 1410}",tt13131610,Bholaa Shankar,feature,movie,58472.0,"Chiranjeevi, Tamannaah Bhatia",2023.0,,"Action, Crime, Drama, Thriller",Chiranjeevi, Tamannaah Bhatia
337,"{'height': 1280, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTM2MmJkZmUtZWQ0Yi00YWZjLWIyNTItNDQ2YzAwNmI4YjlmXkEyXkFqcGdeQXVyODMxNjkyNzQ@._V1_.jpg', 'width': 853}",tt10214826,Agent Sai Srinivasa Athreya,feature,movie,43671.0,"Naveen Polishetty, Shruti Sharma",2019.0,,"Comedy, Crime, Mystery, Thriller",Naveen Polishetty, Shruti Sharma
338,,tt9877964,Armed Force Sairanger vs Ninja Special Agent Justy Wind,video,video,642702.0,"Arisa Taki, Hiro An",2012.0,,"Action, Adventure, Fantasy",Arisa Taki, Hiro An
339,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNGJkODA3ZTktZjYzMC00ZTY0LTkzNmEtZjcyZjI1NmRiMTk3XkEyXkFqcGdeQXVyNjM3MDIwNjc@._V1_.jpg', 'width': 2250}",tt0060928,The Saint Lies in Wait,feature,movie,179220.0,"Jean Marais, Jess Hahn",1966.0,,"Comedy, Crime",Jean Marais, Jess Hahn
340,"{'height': 960, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTkwODYyMjgzOV5BMl5BanBnXkFtZTgwODAzMTE5MjE@._V1_.jpg', 'width': 648}",tt2364582,Agents of S.H.I.E.L.D.,TV series,tvSeries,831.0,"Clark Gregg, Ming-Na Wen",2013.0,2013-2020,"Action, Adventure, Drama, Sci-Fi, Thriller",Clark Gregg, Ming-Na Wen
341,"{'height': 1585, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOGIwYjExOWYtOTY2My00ZmJiLWI5NTktMzlhMGFmYmYzZWY5XkEyXkFqcGdeQXVyMTI3NjAxODc0._V1_.jpg', 'width': 1079}",tt31122670,Agent State Farm,short,short,8187.0,"Arnold Schwarzenegger, Kevin Miles",2024.0,,"Short, Action, Thriller",Arnold Schwarzenegger, Kevin Miles
343,"{'height': 611, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTQ1ODg3ODIzN15BMl5BanBnXkFtZTcwNDEwMzc1MQ@@._V1_.jpg', 'width': 450}",tt0824330,Female Agents,feature,movie,27474.0,"Sophie Marceau, Julie Depardieu",2008.0,,"Drama, War",Sophie Marceau, Julie Depardieu
344,"{'height': 3000, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYjMyNmU2OTMtMGE2ZS00MTBhLWJlYWQtZGRkYzczNDdmOTYwXkEyXkFqcGdeQXVyNTc5MTA1MDc@._V1_.jpg', 'width': 3000}",tt16226708,Agent Stoker,podcastSeries,podcastSeries,41307.0,"Chris Conner, Emily Deschanel",2021.0,,"Horror, Sci-Fi, Thriller",Chris Conner, Emily Deschanel
346,"{'height': 2898, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjI0MTUxMzg1M15BMl5BanBnXkFtZTcwNTg0NzgxOA@@._V1_.jpg', 'width': 1963}",tt2264082,Broche de Oro,feature,movie,160578.0,"Jacobo Morales, Adrian Garcia",2012.0,,Comedy,Jacobo Morales, Adrian Garcia
348,"{'height': 1800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMDE1YWY2MmEtZDBkOC00ZTA0LWI5NmMtOTM2NTNiOGMzMWI4XkEyXkFqcGdeQXVyMTIyMzM2NjU@._V1_.jpg', 'width': 1219}",tt7520878,Broche de Oro: Comienzos,feature,movie,260316.0,"Georgina Borri, Shorty Castro",2017.0,,Comedy,Georgina Borri, Shorty Castro
353,"{'height': 612, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYzRhN2Y5ZjQtYzc4NC00ODM0LTk4YWItYTAzZmE4NzFkZDU2XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_.jpg', 'width': 467}",tt9742334,Brochevarevarura,feature,movie,158734.0,"Sree Vishnu, Rahul Ramakrishna",2019.0,,Comedy,Sree Vishnu, Rahul Ramakrishna
354,"{'height': 1280, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNTQzYjhhZjgtYzFhMS00ZjUyLWJmMDYtOGZhZGQ2NGJhZTkzXkEyXkFqcGdeQXVyMjc1OTA4MDY@._V1_.jpg', 'width': 1280}",tt21439464,Dochevaarevarura,feature,movie,338315.0,"Ajay Ghosh, Gopal Krishna Akella",2023.0,,"Comedy, Crime, Thriller",Ajay Ghosh, Gopal Krishna Akella
355,"{'height': 1597, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNDJjNjE3NDEtZmM4Yy00ZjkzLTkyMDAtMTZmY2RkMGE2MWIxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg', 'width': 1112}",tt13131636,Velle,feature,movie,115760.0,"Karan Deol, Anya Singh",2021.0,,"Comedy, Crime, Drama",Karan Deol, Anya Singh
356,"{'height': 1182, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTc5YWJmYTYtMmE1Mi00NDA3LTlhYWMtMTE3NTRjMjEwMjQ0XkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg', 'width': 754}",tt7675422,Mental Madhilo,feature,movie,123378.0,"Sree Vishnu, Nivetha Pethuraj",2017.0,,"Comedy, Drama, Romance",Sree Vishnu, Nivetha Pethuraj
357,"{'height': 425, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BZGZkM2Q0ZmEtNDcyNS00MGFlLWEwNzYtZjA2M2ViZGUzMjZkXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_.jpg', 'width': 653}",tt1663170,Mental: A History of the Madhouse,TV movie,tvMovie,351731.0,"Maggi Chapman, Jean Davison",2010.0,,"Documentary, History",Maggi Chapman, Jean Davison
358,"{'height': 1152, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzhhMDgzZDMtNzJmMi00ZThiLWJiNGUtODYwNjBjNTA0YTUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDE0ODI@._V1_.jpg', 'width': 2916}",tt6366240,Madd Hatter: Mental Skillness,musicVideo,musicVideo,2600372.0,"Kyle Goethals, Eric Gorodetsky",2017.0,,Music,Kyle Goethals, Eric Gorodetsky
359,"{'height': 500, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMTM1NzQ1MTQxMl5BMl5BanBnXkFtZTcwNjYzMDU2Mw@@._V1_.jpg', 'width': 353}",tt1233217,Metal Man,video,video,58631.0,"Reggie Bannister, Samuel Nathan Hoffmire",2008.0,,"Action, Adventure, Drama, Horror, Mystery, Sci-Fi, Thriller",Reggie Bannister, Samuel Nathan Hoffmire
360,"{'height': 844, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMWU3MjVkNDUtYzAyNy00Y2ZkLTkyMWYtZWYwYzAzZDRhNjU4XkEyXkFqcGdeQXVyMTMxMTIwMTE0._V1_.jpg', 'width': 1500}",tt26183338,Metal Man,TV movie,tvMovie,146076.0,"Lily Du, David Massil",2023.0,,"Comedy, Drama, Music",Lily Du, David Massil
362,"{'height': 2952, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BOTc4OWQ4MWEtMTI4OS00ZjgxLWI1YjMtZjQ3YzZlMTk3NGI1XkEyXkFqcGdeQXVyMTE0ODQ2NDU5._V1_.jpg', 'width': 1944}",tt11985266,Mental Man,video,video,983794.0,"Ryan Beaver, Liam Witte",2019.0,,"Short, Comedy",Ryan Beaver, Liam Witte
365,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMmRkMGMzYTUtM2E2My00YjZlLWFmZjItMDA5M2EwNjNiZTNjXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_.jpg', 'width': 1446}",tt9537292,Ala Vaikunthapurramuloo,feature,movie,20970.0,"Allu Arjun, Pooja Hegde",2020.0,,"Action, Comedy, Drama",Allu Arjun, Pooja Hegde
366,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjQzYjE0NGEtZjBkOS00NjUzLWIwOWQtOWYyYjZjNjI1MzQyXkEyXkFqcGdeQXVyMTA1OTk1MjY3._V1_.jpg', 'width': 1638}",tt13130948,Shehzada,feature,movie,35338.0,"Kartik Aaryan, Kriti Sanon",2023.0,,"Action, Comedy, Drama",Kartik Aaryan, Kriti Sanon
367,"{'height': 2933, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BNzM3YzZhMmUtYmVhMi00NjlhLTkxZWEtMjRiMDUxYmI5NTk4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_.jpg', 'width': 1925}",tt0065979,The Liberation of L.B. Jones,feature,movie,40320.0,"Lee J. Cobb, Anthony Zerbe",1970.0,,"Crime, Drama, Romance",Lee J. Cobb, Anthony Zerbe
369,"{'height': 960, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMjEwNDcyMDk4OF5BMl5BanBnXkFtZTgwNDkyMjM5MzE@._V1_.jpg', 'width': 648}",tt3305096,Galavant,TV series,tvSeries,9793.0,"Joshua Sasse, Timothy Omundson",2015.0,2015-2016,"Adventure, Comedy, Fantasy, Musical",Joshua Sasse, Timothy Omundson
370,"{'height': 750, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BMzQwOGVhMDktODFkNS00NTRjLTk5OWYtYTcwMDU4YzI4M2NlXkEyXkFqcGdeQXVyNTE1MDE2MzY@._V1_.jpg', 'width': 500}",tt1926978,Alava iz,feature,movie,963673.0,"Shahmar Alakbarov, Rasim Balayev",1981.0,,Crime,Shahmar Alakbarov, Rasim Balayev
373,"{'height': 2048, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODllNjZkODEtMGRkNS00YWQzLTg3MTYtMzg2N2U0ODI0Zjk0XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg', 'width': 1446}",tt10773090,Sarileru Neekevvaru,feature,movie,35184.0,"Mahesh Babu, Rashmika Mandanna",2020.0,,"Action, Comedy, Drama",Mahesh Babu, Rashmika Mandanna
375,"{'height': 443, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BYTIzYWI2MGItODRkNi00MmY0LTg5ZGItNGRhNDBhOGQxZTBmXkEyXkFqcGdeQXVyNTA0OTc1NTI@._V1_.jpg', 'width': 314}",tt2120075,I Am Ichihashi: Journal of a Murderer,feature,movie,87850.0,"Dean Fujioka, Ryuma Matsuzaka",2013.0,,Drama,Dean Fujioka, Ryuma Matsuzaka
377,"{'height': 1800, 'imageUrl': 'https://m.media-amazon.com/images/M/MV5BODY0NzEyMzItMDY5NC00MThiLTg0YjQtYmQ4Yzc5YjExZWVjXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_.jpg', 'width': 1200}",tt30643971,The Strongest Tank's Labyrinth Raids -A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party-,TV series,tvSeries,29181.0,"Nobuhiko Okamoto, Jun Kasama",2024.0,,"Animation, Action, Adventure, Fantasy",Nobuhiko Okamoto, Jun Kasama
