,Unnamed: 0,Title,Star_1,Star_2,Star_3,Star_4,Genre_1,Genre_2,Genre_3,Release Year,IMDb Rating,Director_Name,Runtime,imageURL,combined_features
71,123,Mr Inbetween,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BNWU4MTA0ZTItZmUyYi00ZGY3LWE2NTYtMDQ3N2RkZjcwYjk4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,unknown unknown unknown unknown unknown
72,124,Mr. Mercedes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BYTRhMWE1NjMtZTc0YS00YTU0LTlkYzgtMzE5MGFlZmVjYTFlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,unknown unknown unknown unknown unknown
73,125,Mr. & Mrs. Smith,Brad Pitt, Angelina Jolie, Vince Vaughn, Adam Brody,Action, Comedy, Drama,2005,6.679,Mic Rodgers,119,https://m.media-amazon.com/images/M/MV5BMDE0M2YyM2UtODRmNC00YjAyLWIwMjktOTAwMDBiYjBhMGZmXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,Brad Pitt  Angelina Jolie  Vince Vaughn  Adam Brody Mic Rodgers
75,126,Mr. Nobody,Jared Leto, Sarah Polley, Diane Kruger, Linh-Dan Pham,Sci-Fi, Drama, Romance,2009,7.825,Jaco Van Dormael,141,https://m.media-amazon.com/images/M/MV5BMTg4ODkzMDQ3Nl5BMl5BanBnXkFtZTgwNTEwMTkxMDE@._V1_.jpg,Jared Leto  Sarah Polley  Diane Kruger  Linh-Dan Pham Jaco Van Dormael
76,127,Perfect Days,Koji Yakusho, Tokio Emoto, Arisa Nakano, Aoi Yamada,Drama,unknown,unknown,2023,7.9,Takuma Hayashi,124,https://m.media-amazon.com/images/M/MV5BYjI2Njc4MGQtYzYwNC00MDQ1LTkyMzQtODY0NDk4NzZjNGMyXkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_.jpg,Koji Yakusho  Tokio Emoto  Arisa Nakano  Aoi Yamada Takuma Hayashi
77,128,Perfect,John Travolta, Jamie Lee Curtis, Marilu Henner, Laraine Newman,Drama, Romance, Action,1985,5.6,James Bridges,115,https://m.media-amazon.com/images/M/MV5BY2ZkZjNhYjMtZGFiYS00ZDk5LWE1NDQtY2I0ZWRkMDM4MGYwXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,John Travolta  Jamie Lee Curtis  Marilu Henner  Laraine Newman James Bridges
78,130,Pitch Perfect,Anna Kendrick, Brittany Snow, Anna Camp, Rebel Wilson,Comedy, Music, Romance,2012,7.293,George Bamber,112,https://m.media-amazon.com/images/M/MV5BMTcyMTMzNzE5N15BMl5BanBnXkFtZTcwNzg5NjM5Nw@@._V1_.jpg,Anna Kendrick  Brittany Snow  Anna Camp  Rebel Wilson George Bamber
79,131,Perfect Blue,Junko Iwao, Rica Matsumoto, Shiho Niiyama, Masaaki Okura,Animation, Thriller, Anime,1998,8.295,Kou Matsuo,81,https://m.media-amazon.com/images/M/MV5BMmMzOWNhNTYtYmY0My00OGJiLWIzNDUtZWRhNGY0NWFjNzFmXkEyXkFqcGdeQXVyNjUxMDQ0MTg@._V1_.jpg,Junko Iwao  Rica Matsumoto  Shiho Niiyama  Masaaki Okura Kou Matsuo
80,132,Nine Perfect Strangers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BYjBkYjgxNTktZjQ0Zi00OGU5LThjOTEtOGUzMDVhNjc2MjU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_.jpg,unknown unknown unknown unknown unknown
81,133,Perfect Sense,Ewan McGregor, Eva Green, Ewen Bremner, Stephen Dillane,Drama, Sci-Fi, Romance,2011,6.9,David Mackenzie,93,https://m.media-amazon.com/images/M/MV5BMTk3MjYwMjkzOF5BMl5BanBnXkFtZTcwMTE1NjIxNw@@._V1_.jpg,Ewan McGregor  Eva Green  Ewen Bremner  Stephen Dillane David Mackenzie
82,134,Perfect Strangers,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BNTQ5ZDA2YmEtNTU3Ni00MDVmLTliZTYtZDYwMTMzNjJmZTA1XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_.jpg,unknown unknown unknown unknown unknown
83,135,Hulk,Eric Bana, Jennifer Connelly, Sam Elliott, Josh Lucas,Action, Sci-Fi, Superhero,2003,5.5,Artist W. Robinson,138,https://m.media-amazon.com/images/M/MV5BMzQwZDg1MGEtN2E5My00ZDJlLWI4MzItM2U2MjJhYzlkNmEzXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_.jpg,Eric Bana  Jennifer Connelly  Sam Elliott  Josh Lucas Artist W. Robinson
84,136,The Incredible Hulk,Edward Norton, Liv Tyler, Tim Roth, William Hurt,Sci-Fi, Action, Adventure,2008,6.206,Louis Leterrier,114,https://m.media-amazon.com/images/M/MV5BMTUyNzk3MjA1OF5BMl5BanBnXkFtZTcwMTE1Njg2MQ@@._V1_.jpg,Edward Norton  Liv Tyler  Tim Roth  William Hurt Louis Leterrier
88,139,Hulk Vs.,Fred Tatasciore, Matthew Wolf, Grey DeLisle, Kari Wahlgren,Sci-Fi, Animation, Action,2009,6.6,Frank Paur,78,https://m.media-amazon.com/images/M/MV5BMTc1NzMzMzU4Nl5BMl5BanBnXkFtZTcwNTQ3NDYwNQ@@._V1_.jpg,Fred Tatasciore  Matthew Wolf  Grey DeLisle  Kari Wahlgren Frank Paur
89,147,Nuvvu Thopu Raa,Sudhakar Komakula, Nirosha, Nitya Shetty, Gemini Suresh,Drama,unknown,unknown,2019,5.5,Harinath Babu,140,https://m.media-amazon.com/images/M/MV5BNzViOTNhZGYtNTgxYy00OWY2LTgwN2ItNDJlOTE1Y2Q2ZTZhXkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_.jpg,Sudhakar Komakula  Nirosha  Nitya Shetty  Gemini Suresh Harinath Babu
90,149,The House Bunny,Anna Faris, Emma Stone, Kat Dennings, Katharine McPhee,Romance, Comedy, Action,2008,5.6,Fred Wolf,97,https://m.media-amazon.com/images/M/MV5BODkxMDg0MjM2OF5BMl5BanBnXkFtZTcwMjc0NTU4MQ@@._V1_.jpg,Anna Faris  Emma Stone  Kat Dennings  Katharine McPhee Fred Wolf
91,150,The Brown Bunny,Vincent Gallo, Chloë Sevigny, Cheryl Tiegs, Elizabeth Blake,Drama,unknown,unknown,2004,5.5,Vincent Gallo,93,https://m.media-amazon.com/images/M/MV5BZWUyMGVkYTYtZGFjNy00N2M2LWEwZmItMTk0NTA4Y2JkN2I4XkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_.jpg,Vincent Gallo  Chloë Sevigny  Cheryl Tiegs  Elizabeth Blake Vincent Gallo
92,151,The Bunny Game,Rodleen Getsic, Norwood Fisher, Gregg Gilmore, Paul Ill,Horror,unknown,unknown,2011,4.4,Adam Rehmeier,76,https://m.media-amazon.com/images/M/MV5BMTYxNTMxNTM1MV5BMl5BanBnXkFtZTcwMDgzMzQ0Nw@@._V1_.jpg,Rodleen Getsic  Norwood Fisher  Gregg Gilmore  Paul Ill Adam Rehmeier
93,152,Bunny Lake Is Missing,Carol Lynley, Laurence Olivier, Keir Dullea, Martita Hunt,Mystery, Thriller, Action,1965,7.18,Bryan Coates,107,https://m.media-amazon.com/images/M/MV5BODJkNTk0YWYtNWYwZC00NjE5LTg2NGYtZTA5MjEzNWY3YTc2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,Carol Lynley  Laurence Olivier  Keir Dullea  Martita Hunt Bryan Coates
94,153,Papá de alquiler,Gordon Cormier, Kiawentiio, Ian Ousley, Dallas Liu,Comedy, Action, Adventure,2024,9.33333,unknown,90,,Gordon Cormier  Kiawentiio  Ian Ousley  Dallas Liu unknown
95,154,Avatar: The Last Airbender,Zach Tyler, Mae Whitman, Jack De Sena, Dante Basco,Animation, Fantasy, Adventure,2005,10,Ethan Spaulding,23,https://m.media-amazon.com/images/M/MV5BMTViNTY2MjMtYmUwOC00ZGYxLThjOWEtYjNjZWU3MTYwYzZmXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,Zach Tyler  Mae Whitman  Jack De Sena  Dante Basco Ethan Spaulding
97,155,Avatar,Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang,Action, Adventure, Fantasy,2009,7.58,Josh McLaglen,162,https://m.media-amazon.com/images/M/MV5BZDA0OGQxNTItMDZkMC00N2UyLTg3MzMtYTJmNjg3Nzk5MzRiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_.jpg,Sam Worthington  Zoe Saldaña  Sigourney Weaver  Stephen Lang Josh McLaglen
98,156,Avatar: The Way of Water,Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang,Sci-Fi, Adventure, Action,2022,7.631,James Cameron,192,https://m.media-amazon.com/images/M/MV5BYjhiNjBlODctY2ZiOC00YjVlLWFlNzAtNTVhNzM1YjI1NzMxXkEyXkFqcGdeQXVyMjQxNTE1MDA@._V1_.jpg,Sam Worthington  Zoe Saldaña  Sigourney Weaver  Stephen Lang James Cameron
99,158,Open Range,Kevin Costner, Robert Duvall, Michael Gambon, Michael Jeter,Western, Action, Drama,2003,7.2,Alan Geoffrion,139,https://m.media-amazon.com/images/M/MV5BMTYyNjA4NTY3N15BMl5BanBnXkFtZTYwNjc0MDM3._V1_.jpg,Kevin Costner  Robert Duvall  Michael Gambon  Michael Jeter Alan Geoffrion
100,159,Open Season,Martin Lawrence, Ashton Kutcher, Gary Sinise, Debra Messing,Animation, Family, Adventure,2006,6.15,Jill Culton,86,https://m.media-amazon.com/images/M/MV5BMTQwOTg2MjU0OV5BMl5BanBnXkFtZTcwMzIzNTQzMQ@@._V1_.jpg,Martin Lawrence  Ashton Kutcher  Gary Sinise  Debra Messing Jill Culton
101,161,Open Your Eyes,Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez,Drama, Thriller, Sci-Fi,1997,7.451,Carmen Soriano,117,https://m.media-amazon.com/images/M/MV5BYjAyNmFlMzgtZDNiYi00N2FkLTk5YTEtYjMxNDJlMTJkZjg3XkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_.jpg,Eduardo Noriega  Penélope Cruz  Chete Lera  Fele Martínez Carmen Soriano
102,162,Open Water,Blanchard Ryan, Daniel Travis, Saul Stein, Michael E. Williamson,Drama, Thriller, Horror,2003,5.4,Chris Kentis,79,https://m.media-amazon.com/images/M/MV5BNjQ5ODAyOTk3OF5BMl5BanBnXkFtZTcwNzQ1NjYyMQ@@._V1_.jpg,Blanchard Ryan  Daniel Travis  Saul Stein  Michael E. Williamson Chris Kentis
103,163,Open Marriage,Tilky Jones, Nikki Leigh, Kelly Dowdle, Jason Tobias,Thriller, TV Movie, Action,2017,4,Sam Irvin,81,https://m.media-amazon.com/images/M/MV5BN2NkYzBmZWMtZTc0OS00NTY5LWIwYmEtYWFkNGIzNjI0ZjAyXkEyXkFqcGdeQXVyMTIzMzU0Mjgx._V1_.jpg,Tilky Jones  Nikki Leigh  Kelly Dowdle  Jason Tobias Sam Irvin
104,164,Open Grave,Sharlto Copley, Joseph Morgan, Thomas Kretschmann, Erin Richards,Horror, Thriller, Mystery,2013,5.939,Orsolya Vercz,102,https://m.media-amazon.com/images/M/MV5BMTc1MDM5MTI0Ml5BMl5BanBnXkFtZTgwOTMyODI1MDE@._V1_.jpg,Sharlto Copley  Joseph Morgan  Thomas Kretschmann  Erin Richards Orsolya Vercz
105,166,Oppenheimer,Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.,Drama, History, Action,2023,8.114,Richard Molloy,181,https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_.jpg,Cillian Murphy  Emily Blunt  Matt Damon  Robert Downey Jr. Richard Molloy
106,167,Barbie,Margot Robbie, Ryan Gosling, America Ferrera, Ariana Greenblatt,Comedy, Adventure, Action,2023,7.103,Josh Robertson,114,https://m.media-amazon.com/images/M/MV5BNjU3N2QxNzYtMjk1NC00MTc4LTk1NTQtMmUxNTljM2I0NDA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Margot Robbie  Ryan Gosling  America Ferrera  Ariana Greenblatt Josh Robertson
107,168,Barbie as The Princess & the Pauper,Kelly Sheridan, Melissa Lyons, Julie Stevens, Mark Hildreth,Animation, Family, Comedy,2004,7.463,William Lau,85,https://m.media-amazon.com/images/M/MV5BMGY5MzU3MzItNDBjMC00YjQzLWEzMTUtMGMxMTEzYjhkMGNkXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,Kelly Sheridan  Melissa Lyons  Julie Stevens  Mark Hildreth William Lau
108,169,Barbie in the Nutcracker,Kelly Sheridan, Kirby Morrow, Tim Curry, Peter Kelamis,Animation, Family, Musical,2001,6.84,Owen Hurley,77,https://m.media-amazon.com/images/M/MV5BMTk0Y2E2MjgtZDBhNi00OTQ3LTkyYzAtNTdmNzRhYTczZWI2XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,Kelly Sheridan  Kirby Morrow  Tim Curry  Peter Kelamis Owen Hurley
109,170,Barbie as Rapunzel,Kelly Sheridan, Anjelica Huston, Cree Summer, Ian James Corlett,Animation, Family, Fantasy,2002,6.9,Owen Hurley,84,https://m.media-amazon.com/images/M/MV5BNjViZmY0M2MtODUzNy00MjRiLTlhYjQtMjQ4ZDY3ZWFkYWE4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,Kelly Sheridan  Anjelica Huston  Cree Summer  Ian James Corlett Owen Hurley
110,177,Padi Padi Leche Manasu,Sharwanand, Sai Pallavi, Murli Sharma, Priya Raman,Romance, Drama,unknown,2018,6.6,Hanu Raghavapudi,160,https://m.media-amazon.com/images/M/MV5BNmNhZmIwZGItZDkzNi00NzVhLWI2MjUtY2Y2MzY3ODAzNDM3XkEyXkFqcGdeQXVyOTA3MTM0MTM@._V1_.jpg,Sharwanand  Sai Pallavi  Murli Sharma  Priya Raman Hanu Raghavapudi
111,179,Demon Slayer: Kimetsu no Yaiba Mt. Natagumo Arc,Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka,Action, Animation, Drama,2021,8.147,Haruo Sotozaki,138,https://m.media-amazon.com/images/M/MV5BN2EwNTUwYWItZTY4ZC00N2Q1LWFhZWQtNjMwMDBkZDVmYThjXkEyXkFqcGdeQXVyOTA2OTk0MDg@._V1_FMjpg_UX1000_.jpg,Natsuki Hanae  Akari Kito  Hiro Shimono  Yoshitsugu Matsuoka Haruo Sotozaki
112,182,Sound of the Mountain,Setsuko Hara, Sō Yamamura, Ken Uehara, Yôko Sugi,Drama,unknown,unknown,1954,7.5,Mikio Naruse,96,https://m.media-amazon.com/images/M/MV5BYzBkMTdhZTAtNDkyZS00MWNmLWJhNTctZTUzMmI5ZWU4M2M2XkEyXkFqcGdeQXVyNTcwNjUwNzk@._V1_.jpg,Setsuko Hara  Sō Yamamura  Ken Uehara  Yôko Sugi Mikio Naruse
113,183,A Distant Cry from Spring,Ken Takakura, Hidetaka Yoshioka, Chieko Baisho, Tetsuya Takeda,Drama,unknown,unknown,1980,7.3,Yoji Yamada,123,https://m.media-amazon.com/images/M/MV5BODAwNDdlM2UtNjZhZS00MTkxLTk5ZjYtODJmOWU4OWMyNzE3XkEyXkFqcGdeQXVyMzY2MDk0MTk@._V1_.jpg,Ken Takakura  Hidetaka Yoshioka  Chieko Baisho  Tetsuya Takeda Yoji Yamada
114,184,Yamasong: March of the Hollows,Abigail Breslin, Nathan Fillion, Freida Pinto, Peter Weller,Animation, Fantasy, Adventure,2017,4.1,Sam Koji Hale,95,https://m.media-amazon.com/images/M/MV5BMjM0MTEyMjUyOV5BMl5BanBnXkFtZTgwMzY1ODE2NTE@._V1_.jpg,Abigail Breslin  Nathan Fillion  Freida Pinto  Peter Weller Sam Koji Hale
115,191,Donga,unknown,unknown,unknown,unknown,Documentary, History, War,2023,0,Muhannad Lamin,90,https://m.media-amazon.com/images/M/MV5BNTc3OGY3YjMtYzhlZi00ODBiLWJjNmUtMjFkYTEzY2QyMTMxXkEyXkFqcGdeQXVyODU2NDAyMzg@._V1_.jpg,unknown unknown unknown unknown Muhannad Lamin
117,196,Tokyo Videos of Horror,Kouta Takagi, Hajime Izuki,unknown,unknown,Horror,unknown,unknown,2012,5.5,Kazuto Kodama,64,https://m.media-amazon.com/images/S/pv-target-images/b26b424ed927c5116dc067a03690caf71be6bbe2c6c6fb4221c47f406ed95bdb.jpg,Kouta Takagi  Hajime Izuki unknown unknown Kazuto Kodama
118,197,Tokyo Videos of Horror 6,unknown,unknown,unknown,unknown,Horror,unknown,unknown,2013,0,Kazuto Kodama,66,https://media.themoviedb.org/t/p/w500/kICsdVxe7jveCm8Zkw4YjTSKW2D.jpg,unknown unknown unknown unknown Kazuto Kodama
119,198,Tokyo Videos of Horror 2,Saki Mikami, Yuta Sasaki,unknown,unknown,Horror,unknown,unknown,2012,6.75,Kazuto Kodama,60,https://m.media-amazon.com/images/M/MV5BZGFkZTFhMDQtNDQ5ZS00M2I0LWI4OGUtOWM2MzQ5OTFhZGY4XkEyXkFqcGdeQXVyNDUyNzkyMTE@._V1_FMjpg_UX1000_.jpg,Saki Mikami  Yuta Sasaki unknown unknown Kazuto Kodama
120,200,Yami Douga 8,unknown,unknown,unknown,unknown,Horror,unknown,unknown,2013,0,unknown,73,https://m.media-amazon.com/images/M/MV5BNzM5MWY0NDMtOWZkOC00ZWQyLWEyOGEtYTBjMGE2ODIxNWVkXkEyXkFqcGdeQXVyMTAxMTM4NzU@._V1_.jpg,unknown unknown unknown unknown unknown
121,208,Shazam!,Zachary Levi, Mark Strong, Asher Angel, Jack Dylan Grazer,Action, Comedy, Fantasy,2019,7.024,David F. Sandberg,132,https://m.media-amazon.com/images/M/MV5BOWZhZjE4NGQtODg5Ni00MjQ1LWJmMzAtNzQ2N2M1NzYzMDJkXkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_.jpg,Zachary Levi  Mark Strong  Asher Angel  Jack Dylan Grazer David F. Sandberg
122,209,Thankam,Biju Menon, Vineeth Sreenivasan, Aparna Balamurali, Girish Kulkarni,Drama, Crime,unknown,2023,9.5,Prinish Prabhakaran,145,https://m.media-amazon.com/images/M/MV5BZmIyYWFhNDUtMGQwOC00NTRkLWFhMTMtN2IzOWJhNDk5N2EyXkEyXkFqcGdeQXVyMTU5OTAwOTY3._V1_.jpg,Biju Menon  Vineeth Sreenivasan  Aparna Balamurali  Girish Kulkarni Prinish Prabhakaran
123,210,The Shawshank Redemption,Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler,Drama, Crime, Action,1994,8.7,Frank Darabont,142,https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_.jpg,Tim Robbins  Morgan Freeman  Bob Gunton  William Sadler Frank Darabont
124,211,Bhola Shankar,Chiranjeevi, Keerthy Suresh, Tamannaah Bhatia, Sushanth,Action, Crime, Drama,2023,8,Meher Ramesh,158,https://static.toiimg.com/photo/102640182.cms?imgsize=79508,Chiranjeevi  Keerthy Suresh  Tamannaah Bhatia  Sushanth Meher Ramesh
125,212,Agent Sai Srinivasa Athreya,Naveen Polishetty, Shruti Sharma, Suhas, Krishneswara Rao,Crime, Comedy, Mystery,2019,7.1,Swaroop RSJ,144,https://m.media-amazon.com/images/M/MV5BMTM2MmJkZmUtZWQ0Yi00YWZjLWIyNTItNDQ2YzAwNmI4YjlmXkEyXkFqcGdeQXVyODMxNjkyNzQ@._V1_.jpg,Naveen Polishetty  Shruti Sharma  Suhas  Krishneswara Rao Swaroop RSJ
126,215,Agents of S.H.I.E.L.D.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BMTkwODYyMjgzOV5BMl5BanBnXkFtZTgwODAzMTE5MjE@._V1_.jpg,unknown unknown unknown unknown unknown
127,216,Agent State Farm,Arnold Schwarzenegger, Kevin Miles,unknown,unknown,Action, Thriller,unknown,2024,2,Jim Jenkins,1,https://m.media-amazon.com/images/M/MV5BOGIwYjExOWYtOTY2My00ZmJiLWI5NTktMzlhMGFmYmYzZWY5XkEyXkFqcGdeQXVyMTI3NjAxODc0._V1_.jpg,Arnold Schwarzenegger  Kevin Miles unknown unknown Jim Jenkins
128,217,Female Agents,Sophie Marceau, Julie Depardieu, Marie Gillain, Déborah François,War, History, Drama,2008,6.8,Serge Onteniente,117,https://m.media-amazon.com/images/M/MV5BMTQ1ODg3ODIzN15BMl5BanBnXkFtZTcwNDEwMzc1MQ@@._V1_.jpg,Sophie Marceau  Julie Depardieu  Marie Gillain  Déborah François Serge Onteniente
129,221,Brochevarevaru Ra,Sree Vishnu, Rahul Ramakrishna, Priyadarshi Pullikonda, Satyadev Kancharana,Thriller, Crime,unknown,2019,6.9,Shravan,122,https://m.media-amazon.com/images/M/MV5BYjk4ODJhNzUtMzQ0NS00Zjg5LWJlNWQtMmFjNDhmYzI1ZGJlXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_.jpg,Sree Vishnu  Rahul Ramakrishna  Priyadarshi Pullikonda  Satyadev Kancharana Shravan
130,223,Velle,Abhay Deol, Karan Deol, Anya Singh, Vishesh Tiwari,Comedy, Crime,unknown,2021,9,Deven Munjal,125,https://m.media-amazon.com/images/M/MV5BNDJjNjE3NDEtZmM4Yy00ZjkzLTkyMDAtMTZmY2RkMGE2MWIxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_.jpg,Abhay Deol  Karan Deol  Anya Singh  Vishesh Tiwari Deven Munjal
131,224,Mental Madhilo,Sree Vishnu, Nivetha Pethuraj, Amrutha Srinivasan, Shivaji Raja,Romance, Comedy, Drama,2017,6.4,Vivek Athreya,132,https://m.media-amazon.com/images/M/MV5BMTc5YWJmYTYtMmE1Mi00NDA3LTlhYWMtMTE3NTRjMjEwMjQ0XkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_.jpg,Sree Vishnu  Nivetha Pethuraj  Amrutha Srinivasan  Shivaji Raja Vivek Athreya
132,225,Mental: A History of the Madhouse,Tamsin Greig, Peter Barham, Maggi Chapman,unknown,Documentary, History,unknown,2010,4.5,Chris Boulding,59,https://m.media-amazon.com/images/M/MV5BZGZkM2Q0ZmEtNDcyNS00MGFlLWEwNzYtZjA2M2ViZGUzMjZkXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_.jpg,Tamsin Greig  Peter Barham  Maggi Chapman unknown Chris Boulding
133,227,Metal Man,Samuel Nathan Hoffmire, Reggie Bannister, Anthony Antonucci, P. David Miller,Action, Sci-Fi, Adventure,2008,2,Ron Karkoska,87,https://m.media-amazon.com/images/M/MV5BMTM1NzQ1MTQxMl5BMl5BanBnXkFtZTcwNjYzMDU2Mw@@._V1_.jpg,Samuel Nathan Hoffmire  Reggie Bannister  Anthony Antonucci  P. David Miller Ron Karkoska
135,230,Ala Vaikunthapurramuloo,Allu Arjun, Pooja Hegde, Murli Sharma, Jayaram,Action, Drama,unknown,2020,6.3,Trivikram Srinivas,165,https://m.media-amazon.com/images/M/MV5BMmRkMGMzYTUtM2E2My00YjZlLWFmZjItMDA5M2EwNjNiZTNjXkEyXkFqcGdeQXVyNDY5MTUyNjU@._V1_.jpg,Allu Arjun  Pooja Hegde  Murli Sharma  Jayaram Trivikram Srinivas
136,231,Shehzada,Kartik Aaryan, Kriti Sanon, Paresh Rawal, Manisha Koirala,Action, Comedy, Drama,2023,1,Rohit Dhawan,90,https://m.media-amazon.com/images/M/MV5BMjQzYjE0NGEtZjBkOS00NjUzLWIwOWQtOWYyYjZjNjI1MzQyXkEyXkFqcGdeQXVyMTA1OTk1MjY3._V1_.jpg,Kartik Aaryan  Kriti Sanon  Paresh Rawal  Manisha Koirala Rohit Dhawan
137,233,Galavant,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,unknown,unknown,https://m.media-amazon.com/images/M/MV5BMjEwNDcyMDk4OF5BMl5BanBnXkFtZTgwNDkyMjM5MzE@._V1_.jpg,unknown unknown unknown unknown unknown
138,235,Sarileru Neekevvaru,Mahesh Babu, Vijayashanti, Rashmika Mandanna, Prakash Raj,Action, Comedy, Drama,2020,5.4,Anil Ravipudi,169,https://m.media-amazon.com/images/M/MV5BODllNjZkODEtMGRkNS00YWQzLTg3MTYtMzg2N2U0ODI0Zjk0XkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_.jpg,Mahesh Babu  Vijayashanti  Rashmika Mandanna  Prakash Raj Anil Ravipudi
139,236,I am Ichihashi: Journal of a Murderer,Dean Fujioka, Takashi Nishina, Shin'ichi Tsuha, Ryuma Matsuzaka,Drama,unknown,unknown,2013,5.6,Dean Fujioka,83,,Dean Fujioka  Takashi Nishina  Shin'ichi Tsuha  Ryuma Matsuzaka Dean Fujioka
140,238,Total Eclipse,Leonardo DiCaprio, David Thewlis, Romane Bohringer, Dominique Blanc,Drama, Romance, Biography,1995,6.4,Agnieszka Holland,111,https://m.media-amazon.com/images/M/MV5BOTdiMDEyM2ItOWYzYS00OTM1LWFlYWEtZjdhNWNhNzZmNTQyXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_.jpg,Leonardo DiCaprio  David Thewlis  Romane Bohringer  Dominique Blanc Agnieszka Holland
141,239,Pushpa: The Rise - Part 1,Allu Arjun, Jagadeesh Prathap Bandari, Rashmika Mandanna, Sunil Varma,Action, Drama, Thriller,2021,7.267,Sukumar,179,https://m.media-amazon.com/images/M/MV5BMmQ4YmM3NjgtNTExNC00ZTZhLWEwZTctYjdhOWI4ZWFlMDk2XkEyXkFqcGdeQXVyMTI1NDEyNTM5._V1_.jpg,Allu Arjun  Jagadeesh Prathap Bandari  Rashmika Mandanna  Sunil Varma Sukumar
142,240,Pushpa: The Rule - Part 2,Allu Arjun, Fahadh Faasil, Rashmika Mandanna, Sunil Varma,Action, Drama, Crime,0,7,Sukumar,90,https://m.media-amazon.com/images/M/MV5BNGZlNTFlOWMtMzUwNC00ZDdhLTk0MWUtOGZjYzFlOTBmNDdhXkEyXkFqcGdeQXVyMTUyNjIwMDEw._V1_.jpg,Allu Arjun  Fahadh Faasil  Rashmika Mandanna  Sunil Varma Sukumar
143,244,The Family Man,Nicolas Cage, Téa Leoni, Don Cheadle, Saul Rubinek,Comedy, Drama, Romance,2000,6.7,Brett Ratner,125,https://m.media-amazon.com/images/M/MV5BYzYzMTQ4NDYtNWRkZi00NTYxLThlZDItMzI1MmU1MmU5ZWQ3XkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_.jpg,Nicolas Cage  Téa Leoni  Don Cheadle  Saul Rubinek Brett Ratner
147,246,A Family Man,Gerard Butler, Gretchen Mol, Maxwell Jenkins, Willem Dafoe,Drama, Action,unknown,2016,6.7,Bosede Williams,108,https://m.media-amazon.com/images/M/MV5BYjdkY2MzMGEtNzI5YS00ZDVkLTliZmMtZGMxZDJiMGU2MjIwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_.jpg,Gerard Butler  Gretchen Mol  Maxwell Jenkins  Willem Dafoe Bosede Williams
